Date,Time,Inflow rate,Tdew humidifier,Incoming2 Temp_C(5),Incoming3 Temp_C(6),wall inside Temp_C(3) ,wall outside Temp_C(4),chamber air Temp_C(1) ,Tl1,Tl2,TlIR,Tlin,Fan power,FlowMeter out,Wind speed,Sensirion,Comment
,,l/min,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,W,l/min,m/s,ul/min,
18.02.2014,17:24,6.05,-10.00,13.39,13.62,23.67,23.61,23.66,23.05,23.16,22.83,20.72,1.413,1.11,0.7,4.2,"New tunnel with chamber, perforated leaf (7_1) in chamber"
18.02.2014,18:09,5.85,-10.00,13.39,13.62,23.48,23.43,23.43,23.26,23.34,,21.65,1.408,1.38,4.8,5.7,
19.02.2014,18:08,5.66,-10.07,13.53,13.73,23.63,23.58,23.57,,,,21.88,1.408,1.45,4.8,5.7,lid of TC multiplexer not on!
20.02.2014,11:09,7.83,10.21,15.19,15.32,22.9,22.94,22.9,22.33,22.52,23.31,21.1,1.416,1.94,0.7,2.75,
20.02.2014,13:20,7.57,5.12,15.42,15.54,23.27,23.29,23.28,22.59,22.81,23.18,21.04,1.416,1.85,0.7,3.1,
20.02.2014,13:46,7.45,0.10,15.49,15.63,23.38,23.35,23.39,22.62,22.85,23.1,20.86,1.416,1.82,0.7,3.5,
20.02.2014,14:07,7.33,-5.00,15.55,15.68,23.46,23.36,23.47,22.64,22.89,23.07,20.76,1.416,1.8,0.7,3.75,
20.02.2014,14:38,7.34,-10.00,15.54,15.68,23.49,23.44,23.49,22.61,22.89,22.88,20.65,1.416,1.81,0.7,3.85,
20.02.2014,14:56,7.39,-15.00,15.59,15.71,23.51,23.5,23.51,22.61,22.89,22.88,22.58,1.416,1.82,0.7,4,
20.02.2014,16:11,7.32,-20.00,15.62,15.73,23.58,23.57,23.56,22.64,22.94,22.86,20.6,1.416,1.78,0.7,4.1,
20.02.2014,16:36,7.03,-20.00,15.68,15.83,23.47,23.51,23.41,23.06,23.29,23.44,21.61,1.408,1.98,4.8,5.2,
20.02.2014,17:39,7.15,-15.05,15.65,15.79,23.37,23.36,23.32,22.98,23.31,23.52,21.56,1.409,1.98,4.8,5.4,
